#{"t_start": 1652374387.1519566, "env_id": null}
r,l,t
754.786851,1,658.892321
928.146176,1,662.856289
772.213671,1,666.129703
754.073763,1,669.766913
809.113296,1,673.295348
811.499858,1,676.688055
865.40091,1,680.675391
770.37283,1,684.16818
819.507891,1,687.66062
804.955397,1,690.995781
878.05478,1,694.563212
759.992711,1,697.851197
783.299012,1,701.362223
781.810129,1,705.058246
826.29034,1,708.536342
811.071948,1,712.11296
883.728821,1,715.752814
794.807405,1,719.097684
967.054683,1,723.555542
829.418255,1,727.187054
782.674187,1,730.552394
818.339112,1,734.283122
881.076242,1,738.137624
751.891226,1,741.431343
828.56791,1,745.123774
837.205364,1,748.792416
784.218762,1,752.171836
782.476822,1,755.58525
796.770083,1,759.031792
760.604042,1,762.474259
851.469743,1,766.23366
794.418533,1,769.743562
827.024785,1,773.294476
856.787325,1,776.754844
797.315742,1,780.401031
790.468574,1,783.986837
736.940318,1,787.25125
784.180741,1,790.587231
784.255235,1,794.091495
792.661041,1,797.566785
906.46723,1,801.408965
832.278415,1,805.468002
764.930046,1,808.724965
933.477944,1,813.295628
845.982367,1,816.938536
801.657284,1,820.579622
856.1201,1,824.525793
944.178413,1,828.495086
788.303607,1,832.138972
730.041553,1,835.59422
844.494749,1,839.238893
829.417481,1,842.831688
831.611355,1,846.469118
752.010111,1,849.859185
789.659349,1,853.386258
764.823216,1,856.888024
760.943911,1,860.454308
893.77329,1,864.483654
806.806684,1,868.002255
1138.448606,1,874.203061
833.875755,1,877.782157
889.755207,1,881.575135
794.180934,1,885.186716
784.750465,1,888.568126
874.000155,1,892.348886
740.440859,1,895.553551
744.675062,1,899.014317
783.43149,1,902.435416
751.888574,1,905.860063
865.842849,1,909.500598
804.981802,1,913.080264
782.278372,1,916.485156
779.873405,1,919.784777
727.62295,1,923.096758
872.619168,1,926.94587
790.985927,1,930.401882
855.362172,1,933.959188
917.057295,1,937.903501
788.563284,1,941.527076
756.356498,1,944.730929
896.665213,1,948.480049
834.420615,1,952.01201
822.165792,1,955.616378
797.282459,1,959.233738
